id,sex,text,time,text/text,text/type
50103,3,маленькая на улице на асфальте,2020-08-14T18:04:57,,
50104,3,озеро,2020-08-14T18:07:15,,
50105,3,комфорт на прекрасно,2020-08-14T18:07:56,,
50106,3,озеро,2020-08-14T18:08:20,,
50107,3,спокойная,2020-08-14T18:20:09,,
50108,3,спокойствие умиротворенность,2020-08-14T18:24:41,,
50109,3,это озеро большое голубое прозрачное чистое,2020-08-14T18:27:29,,
50110,3,светлое темное волосатое пиво,2020-08-14T18:29:25,,
50111,3,жара пляж анапа,2020-08-14T18:35:04,,
50112,3,ты что выключаешься,2020-08-14T18:47:54,,
50113,3,дальше,2020-08-14T18:50:28,,
50114,3,море оно вкусное соленое теплая волнующейся но иногда бывает холодным еще в нем можно найти камешки и ракушки и песочек там очень хороший из него очень хорошо строить,2020-08-14T18:53:26,,
50115,3,идеальность,2020-08-14T18:54:41,,
50116,3,первая ручей когда течет его очень приятно слышать а еще он очень узкий через него я думаю пробраться могут только насекомые,2020-08-14T18:58:03,,
50117,3,вода воздух соль,2020-08-14T19:21:44,,
50118,3,жидкость мокрая хочу писать,2020-08-14T19:28:54,,
50119,3,теплый спокойный и бушующий,2020-08-14T19:55:53,,
50120,3,спокойствие свобода загадка,2020-08-14T19:58:02,,
50121,3,спокойствие спокойствие,2020-08-14T20:24:08,,
50122,3,море,2020-08-14T20:30:06,,
50123,3,море оно соленое волнистая прозрачные,2020-08-14T20:36:23,,
50124,3,зеркальная гладкое успокаивающая,2020-08-14T20:50:22,,
50125,3,озеро говно,2020-08-14T21:21:08,,
50126,3,тишина бодрость свежесть,2020-08-14T21:31:40,,
50127,3,плавающие жидкое,2020-08-14T21:37:30,,
50128,3,синяя тепло спокойная,2020-08-14T21:44:53,,
50129,3,высоко,2020-08-14T21:50:28,,
50130,3,все отлично,2020-08-14T21:58:22,,
50131,3,поверю,2020-08-14T21:59:26,,
50132,3,море,2020-08-14T22:04:54,,
50133,3,мокрая быстрая извилистая,2020-08-14T22:26:03,,
50134,3,вода голубой прозрачный,2020-08-14T22:26:12,,
50135,3,чтооо,2020-08-14T22:28:04,,
50136,3,а,2020-08-14T22:29:40,,
50137,3,больная,2020-08-14T22:33:58,,
50138,3,"Бушующее, плавное, тёплое",2020-08-14T22:46:56,,
50139,3,это озеро потому что оно есть в каждом городе и каждый может с ним искупаться как бы,2020-08-14T22:49:04,,
50140,3,мокрая холодно спокойно,2020-08-14T23:00:44,,
50141,3,безграничность,2020-08-14T23:02:08,,
50142,3,спокойную мокрое красиво,2020-08-14T23:04:13,,
50143,3,начать заново начать,2020-08-14T23:11:41,,
50144,3,ахуеть ,2020-08-14T23:13:14,,
50145,3,стихи не предсказуемость красота,2020-08-14T23:15:07,,
50146,3,вот что я тебе расскажу приехал в геленджик пошел на мурано идет холодная,2020-08-14T23:17:06,,
50147,3,журчащий,2020-08-15T00:44:05,,
50148,3,"спокойствие, отдых, красота",2020-08-15T00:50:53,,
50149,3,у львов есть грива темно коричневого цвета верхняя часть любовь и серая так она песочно желтого цвета темный кривова они более были сто тона,2020-08-15T02:15:38,,
50150,3,жарко солнечно,2020-08-15T02:25:15,,
50151,3,волны у меня настроение расслабление,2020-08-15T02:44:05,,
50152,3,вода,2020-08-15T04:02:29,,
50153,3,бесконечная сильное живое,2020-08-15T06:02:55,,
50154,3,"тоска,  уныние,  убийство ",2020-08-15T07:05:01,,
50155,3,пиздос ,2020-08-15T07:07:24,,
50156,3,спокойный,2020-08-15T07:40:25,,
50157,3,океан,2020-08-15T08:03:04,,
50158,3,спокойствие доброта и хорошее настроение,2020-08-15T08:51:21,,
50159,3,спокойная,2020-08-15T08:53:20,,
50160,3,он течет,2020-08-15T08:58:35,,
50161,3,ручей,2020-08-15T09:38:26,,
50162,3,что дальше,2020-08-15T09:41:43,,
50163,3,озеро,2020-08-15T09:43:37,,
50164,3,добрый день,2020-08-15T09:56:24,,
50165,3,давай поиграем,2020-08-15T10:04:51,,
50166,3,бирюза,2020-08-15T10:05:43,,
50167,3,"каскад, шум, пена",2020-08-15T10:31:28,,
50168,3,пять десять пятого пять пять десять пятого ровно пять десять пятого пять десять пять ровно пять десять пятого десять пятого ровно пять пять пять пять пять пять пять пять пять пять,2020-08-15T10:35:31,,
50169,3,страшно очень страшно мы не знаем что это такое если мы знали что это такое было бы очень страшно страшно мы не знаем что это такое,2020-08-15T10:46:28,,
50170,3,средняя,2020-08-15T10:46:46,,
50171,3,я красивая у него чистая водичка,2020-08-15T11:08:45,,
50172,3,некрасивая,2020-08-15T11:13:17,,
50173,3,море большое,2020-08-15T11:15:59,,
50174,3,это папа,2020-08-15T11:26:17,,
50175,3,"туман, облако, пыль",2020-08-15T11:38:32,,
50176,3,спокойная глубокая волнующееся,2020-08-15T11:42:11,,
50177,3,большой теплый летний,2020-08-15T12:01:55,,
50178,3,она маленькая,2020-08-15T12:04:38,,
50179,3,свежие,2020-08-15T12:30:27,,
50180,3,течение цикл жизнь ,2020-08-15T12:38:47,,
50181,3,давай поговорим игру заново,2020-08-15T13:25:41,,
50182,3,а давай еще раз играть,2020-08-15T13:26:40,,
50183,3,красивая,2020-08-15T13:29:21,,
50184,3,быстрые прозрачный чистый,2020-08-15T13:49:04,,
50185,3,море,2020-08-15T14:04:44,,
50186,3,ой море,2020-08-15T14:11:36,,
50187,3,большое глубокое гимн,2020-08-15T14:14:18,,
50188,3,не большая,2020-08-15T14:18:38,,
50189,3,и она приятно,2020-08-15T14:27:34,,
50190,3,приятное,2020-08-15T14:32:05,,
50191,3,море оно теплое вкусное и соленое,2020-08-15T14:44:42,,
50192,3,море вкусное соленое теплое а еще,2020-08-15T14:48:12,,
50193,3,море,2020-08-15T14:51:13,,
50194,3,буря шторм эмоция,2020-08-15T14:52:21,,
50195,3,большое соленое водяное,2020-08-15T14:55:04,,
50196,3,непринужденный спокойный красивый,2020-08-15T15:09:47,,
50197,3,большое,2020-08-15T15:36:53,,
50198,3,не спокойная счастливая,2020-08-15T15:58:07,,
50199,3,волнуется волны шторм,2020-08-15T16:04:16,,
50200,3,большое глубокое синее,2020-08-15T16:05:52,,
50201,3,море это большая лужа озеро это средняя лужа лужа маленькая это длинное ужа,2020-08-15T16:11:40,,
50202,3,"попытки жить,конца нет,пустота",2020-08-15T16:22:44,,
50203,3,мерзкая мокрый и может потушить огонь,2020-08-15T16:38:57,,
50204,3,такой сексуальный красиво прям поцеловать хочется,2020-08-15T16:45:16,,
50205,3,"море глубокий и не проведенный. озеро красивый, наслаждение. лужа грязь и вода. ручей вода",2020-08-15T16:49:23,,
50206,3,не волнуйся,2020-08-15T17:05:06,,
50207,3,они можно прыгать играть с ней это лужа,2020-08-15T17:21:38,,
50208,3,подожди секунду,2020-08-15T17:23:56,,
50209,3,и красивая,2020-08-15T17:25:58,,
50210,3,кредиты пройти тест,2020-08-15T17:29:40,,
50211,3,река потому что,2020-08-15T17:30:39,,
50212,3,завораживающая,2020-08-15T17:36:14,,
50213,3,спокойствие,2020-08-15T17:39:03,,
50214,3,ночь некрасиво это море,2020-08-15T18:03:06,,
50215,3,оно большое оно соленое в нем можно плавать когда захочешь,2020-08-15T18:17:38,,
50216,3,это все красивое текущее и природное,2020-08-15T18:45:02,,
50217,3,плавно мокро освежает,2020-08-15T18:50:01,,
50218,3,море потому что в море много места и свободы,2020-08-15T18:50:09,,
50219,3,холодная водичка с ручья,2020-08-15T19:20:19,,
50220,3,как дела,2020-08-15T19:33:24,,
50221,3,глубокий голубой большой,2020-08-15T19:38:57,,
50222,3,темная,2020-08-15T19:43:59,,
50223,3,свежий быстро и прохладно,2020-08-15T19:52:19,,
50224,3,шумит,2020-08-15T19:53:28,,
50225,3,а ну быстро текущее невообразимое,2020-08-15T19:55:42,,
50226,3,далекая красивая,2020-08-15T20:03:30,,
50227,3,продолжи,2020-08-15T20:08:58,,
50228,3,море прекрасное мое купаться покупаться можно в него,2020-08-15T20:11:29,,
50229,3,с чем то таким лесным с таким жутким фильм ужасов,2020-08-15T20:18:46,,
50230,3,ручей,2020-08-15T20:25:50,,
50231,3,бесконечная очень жестокое,2020-08-15T20:40:29,,
50232,3,солёный большой атлантический,2020-08-15T20:54:42,,
50233,3,Солёный большой атлантический,2020-08-15T20:56:40,,
50234,3,в море можно купаться в озере можно купаться в луже она грязная купаться нельзя ручей мешает,2020-08-15T21:04:52,,
50235,3,пусть вода будет,2020-08-15T21:05:56,,
50236,3,как продолжить игру,2020-08-15T21:14:50,,
50237,3,большое,2020-08-15T21:24:49,,
50238,3,я надумал,2020-08-15T21:38:20,,
50239,3,он огромный,2020-08-15T21:45:54,,
50240,3,он огромный вот и все,2020-08-15T21:50:13,,
50241,3,чистое,2020-08-15T21:51:51,,
50242,3,море море море,2020-08-15T22:03:12,,
50243,3,умиротворенность спокойствие,2020-08-15T22:37:06,,
50244,3,не надо,2020-08-15T22:39:34,,
50245,3,спокойствие красота надежности,2020-08-15T22:39:40,,
50246,3,море это среднее озеро маленькая лужа очень маленькая ручей большой,2020-08-15T22:54:22,,
50247,3,дальше,2020-08-15T22:59:52,,
50248,3,чистая спокойное глубокое,2020-08-15T23:01:26,,
50249,3,высокая глубокая далекая,2020-08-15T23:06:28,,
50250,3,глубина,2020-08-15T23:12:46,,
50251,3,жидкий быстрый теплый,2020-08-15T23:17:16,,
50252,3,спокойная безграничная,2020-08-15T23:20:50,,
50253,3,"лёгкость, невисомость, очищение ",2020-08-15T23:34:13,,
50254,3,короче море озеро душили ручей,2020-08-15T23:43:53,,
50255,3,это просто вода,2020-08-15T23:45:58,,
50256,3,"спокойно, умиротворенно, расслабляюще ",2020-08-15T23:54:52,,
50257,3,шумная свежая в огне,2020-08-16T00:11:13,,
50258,3,ты чистая,2020-08-16T00:12:00,,
50259,3,глубокая завораживающая синяя,2020-08-16T00:29:02,,
50260,3,весь мир,2020-08-16T02:06:23,,
50261,3,конец земли,2020-08-16T02:10:58,,
50262,3,жидкое твёрдое мягкое,2020-08-16T02:51:06,,
50263,3,чистая струя тонкая,2020-08-16T05:45:27,,
50264,3,много людей,2020-08-16T06:22:46,,
50265,3,во вторых там очень она очень блестящая на солнце,2020-08-16T06:27:43,,
50266,3,покой дремать отдых,2020-08-16T09:20:21,,
50267,3,не спокойная волнистая счастливая,2020-08-16T09:32:46,,
50268,3,я люблю тебя,2020-08-16T09:40:10,,
50269,3,глупая,2020-08-16T09:49:59,,
50270,3,ой,2020-08-16T10:17:00,,
50271,3,небольшая неглубокая грязная,2020-08-16T10:18:06,,
50272,3,ну уже она просто грязная и еще уже она просто грязная вот все что я знала уже,2020-08-16T10:43:37,,
50273,3,это маленькая очень большая и она очень грязная,2020-08-16T10:58:11,,
50274,3,отдых красота в спокойствие,2020-08-16T11:27:13,,
50275,3,она такая,2020-08-16T11:32:21,,
50276,3,запусти навык русская загадка английская разгадка,2020-08-16T11:35:44,,
50277,3,вода голубая чистая,2020-08-16T11:36:51,,
50278,3,бежит мокрая,2020-08-16T12:15:51,,
50279,3,что,2020-08-16T12:16:27,,
50280,3,быстрая торопливо сильнее,2020-08-16T12:18:14,,
50281,3,быстро прозрачная,2020-08-16T12:24:58,,
50282,3,ручей чистый спокойной,2020-08-16T12:30:07,,
50283,3,рыбы медузы,2020-08-16T12:31:12,,
50284,3,лучше грязная коричневая и мне он вообще не нравится,2020-08-16T12:35:03,,
50285,3,хочу знать результат прошлого теста,2020-08-16T12:36:12,,
50286,3,лужина грязная коричневые некрасивые,2020-08-16T12:38:50,,
50287,3,океан,2020-08-16T12:56:21,,
50288,3,лужи,2020-08-16T13:10:09,,
50289,3,море,2020-08-16T13:39:58,,
50290,3,грязная мокрая,2020-08-16T13:52:55,,
50291,3,приятное бархатное синее,2020-08-16T13:55:25,,
50292,3,море она чистая,2020-08-16T13:55:39,,
50293,3,Заново,2020-08-16T13:59:11,,
50294,3,море,2020-08-16T14:01:17,,
50295,3,тигр,2020-08-16T14:06:40,,
50296,3,прозрачная зеленая,2020-08-16T14:07:33,,
50297,3,прохладное но теплое,2020-08-16T14:08:15,,
50298,3,нет,2020-08-16T14:10:09,,
50299,3,море,2020-08-16T14:26:39,,
50300,3,ты меня этому научи,2020-08-16T14:56:09,,
50301,3,спокойствие безмятежность расслабление,2020-08-16T14:58:34,,
50302,3,спокойная неглубокая теплая,2020-08-16T15:00:32,,
50303,3,штиль ртуть жара,2020-08-16T15:12:43,,
50304,3,сука,2020-08-16T15:15:29,,
50305,3,море,2020-08-16T15:19:23,,
50306,3,сука,2020-08-16T15:21:52,,
50307,3,отдых путешествие,2020-08-16T15:23:47,,
50308,3,море,2020-08-16T15:25:04,,
50309,3,жопа,2020-08-16T15:26:12,,
50310,3,море и там сердечки плавают,2020-08-16T15:27:21,,
50311,3,море это жидкость,2020-08-16T15:29:53,,
50312,3,сру ладно подожди,2020-08-16T15:32:50,,
50313,3,давай еще что то,2020-08-16T15:33:18,,
50314,3,мужа,2020-08-16T15:37:22,,
50315,3,шумная,2020-08-16T15:54:13,,
50316,3,это вода синий цвет и,2020-08-16T16:05:11,,
50317,3,море мне вкусная вода соленая и теплая,2020-08-16T16:09:57,,
50318,3,чистая прозрачная,2020-08-16T16:19:36,,
50319,3,сяка,2020-08-16T16:21:51,,
50320,3,а маленький ручеек он очень красивый,2020-08-16T16:24:34,,
50321,3,лайк,2020-08-16T16:33:50,,
50322,3,спокойствие волны интересно глубоко,2020-08-16T16:38:42,,
50323,3,успокаивающая успокаивающая,2020-08-16T16:40:44,,
50324,3,успокаивающее море глубокое на такое мягкая,2020-08-16T16:45:14,,
50325,3,умная широкая,2020-08-16T16:51:22,,
50326,3,очень красиво,2020-08-16T17:15:02,,
50327,3,очень красиво и очень хорошо чувствует,2020-08-16T17:19:32,,
50328,3,представляю,2020-08-16T17:20:22,,
50329,3,море жидкое,2020-08-16T17:20:43,,
50330,3,океан,2020-08-16T17:23:31,,
50331,3,отдых расслабление,2020-08-16T17:25:05,,
50332,3,сплю,2020-08-16T17:28:04,,
50333,3,жидкая мокрая спокойная наверное,2020-08-16T17:42:33,,
50334,3,глубокое красивое приятное,2020-08-16T17:46:05,,
50335,3,повтори,2020-08-16T17:52:44,,
50336,3,"глубокое, таинственное, необъятное ",2020-08-16T17:58:59,,
50337,3,спокой с первых миротворения,2020-08-16T17:59:11,,
50338,3,иди купайся,2020-08-16T18:05:43,,
50339,3,барашками теплая хорошая,2020-08-16T18:12:19,,
50340,3,маленькая маленькая,2020-08-16T18:17:03,,
50341,3,"Тихий, красивый, и звуки птиц",2020-08-16T18:18:36,,
50342,3,море,2020-08-16T18:45:11,,
50343,3,свет,2020-08-16T18:53:30,,
50344,3,повтори пожалуйста,2020-08-16T19:07:42,,
50345,3,большое шумное синее,2020-08-16T19:08:43,,
50346,3,сила стихи красота,2020-08-16T19:12:05,,
50347,3,что это значит,2020-08-16T19:48:04,,
50348,3,я сказал,2020-08-16T19:57:52,,
50349,3,спокойное чистое,2020-08-16T19:59:14,,
50350,3,стиль голубая прозрачные,2020-08-16T20:10:07,,
50351,3,дальше,2020-08-16T20:12:04,,
50352,3,глубинная статичная прозрачная,2020-08-16T20:15:51,,
50353,3,отдых светлость радость,2020-08-16T20:17:41,,
50354,3,уже уже уже,2020-08-16T20:29:41,,
50355,3,это вонючий хомяк,2020-08-16T20:32:19,,
50356,3,р,2020-08-16T20:33:44,,
50357,3,море,2020-08-16T20:34:06,,
50358,3,озеро,2020-08-16T20:36:26,,
50359,3,а у и а и у и а и у у у у у у а а а а а а и у,2020-08-16T20:38:11,,
50360,3,я ужин,2020-08-16T20:39:14,,
50361,3,уже,2020-08-16T20:40:58,,
50362,3,спокойная бирюзовая без бол,2020-08-16T20:49:50,,
50363,3,большое синее,2020-08-16T20:54:43,,
50364,3,спокойствие частота,2020-08-16T20:58:07,,
50365,3,хорошенький,2020-08-16T21:12:53,,
50366,3,пресная вода байкал глубокий,2020-08-16T21:20:46,,
50367,3,"глубокое, затягивающие, поющее",2020-08-16T21:35:43,,
50368,3,кошка игривая серенькая любит поспать,2020-08-16T21:36:29,,
50369,3,голубое проще в небе,2020-08-16T21:40:19,,
50370,3,а ку ку,2020-08-16T21:42:54,,
50371,3,бодрый радостный лучистый,2020-08-16T21:50:49,,
50372,3,эластичность,2020-08-16T21:54:59,,
50373,3,чистое неглубокая со стоячей водой,2020-08-16T22:20:06,,
50374,3,эш,2020-08-16T22:27:13,,
50375,3,шумная,2020-08-16T22:53:52,,
50376,3,красота и покой,2020-08-16T23:01:38,,
50377,3,повтори,2020-08-16T23:01:54,,
50378,3,"Тихий, спокойный, размеренный",2020-08-16T23:03:31,,
50379,3,быстрый холодный красивый,2020-08-16T23:06:16,,
50380,3,полумесячный водоем все красного цвета и там обитают золотые рыбы,2020-08-16T23:06:53,,
50381,3,море большое но океан больше,2020-08-16T23:12:42,,
50382,3,озеро маленькое ручей больше а мой огромный,2020-08-16T23:15:21,,
50383,3,кристальная чистая холодная,2020-08-16T23:29:20,,
50384,3,доллар,2020-08-16T23:32:45,,
50385,3,ручей,2020-08-16T23:40:11,,
50386,3,мокрая грязная,2020-08-16T23:44:39,,
50387,3,прозрачный,2020-08-16T23:53:49,,
50388,3,уют,2020-08-17T00:25:04,,
50389,3,что приготовить на ужин,2020-08-17T00:28:51,,
50390,3,красиво синее,2020-08-17T00:34:23,,
50391,3,"жидкое, твердое, газообразное",2020-08-17T00:53:43,,
50392,3,Спокойно красиво загадочно,2020-08-17T00:56:43,,
50393,3,"глубокое, голубое, грязная",2020-08-17T01:02:54,,
50394,3,теплая прозрачная,2020-08-17T02:03:20,,
50395,3,прозрачная спокойная холодное,2020-08-17T02:36:23,,
50396,3,алис мне не нравится эта игра давай другую,2020-08-17T03:23:23,,
50397,3,"озеро глубокое, чистое, прохладное",2020-08-17T06:38:27,,
50398,3,алиса алиса,2020-08-17T07:04:01,,
50399,3,тише давать,2020-08-17T07:33:51,,
50400,3,я все,2020-08-17T08:08:33,,
50401,3,всяко,2020-08-17T08:49:06,,
50402,3,море красивые теплая мягкая нежная я откуда знаю,2020-08-17T09:12:25,,
50403,3,ну море а ну чуть чуть,2020-08-17T09:15:22,,
50404,3,да,2020-08-17T09:16:02,,
50405,3,дальше,2020-08-17T09:19:40,,
50406,3,большое очень призрачно и много животных в нем обитатели,2020-08-17T09:20:46,,
50407,3,вода мокрая,2020-08-17T09:23:20,,
50408,3,прекрасно живописно красиво,2020-08-17T09:28:32,,
50409,3,успокоение тишина отдых,2020-08-17T09:39:45,,
50410,3,кошка Мася она сильно цар,2020-08-17T09:52:59,,
50411,3,журчащий худой длинный,2020-08-17T09:56:18,,
50412,3,с волнами спокойная и штормовое,2020-08-17T10:00:46,,
50413,3,море,2020-08-17T10:06:02,,
50414,3,да,2020-08-17T10:47:28,,
50415,3,дальше,2020-08-17T10:47:36,,
50416,3,ответила,2020-08-17T10:49:50,,
50417,3,эффективно красиво,2020-08-17T10:52:37,,
50418,3,движется понимал очень весело запускать корабль и разное,2020-08-17T10:53:14,,
50419,3,из крайняя загадочная,2020-08-17T10:58:12,,
50420,3,сверкающий,2020-08-17T10:58:55,,
50421,3,море,2020-08-17T11:01:06,,
50422,3,правый левый вперед,2020-08-17T11:02:31,,
50423,3,красиво эффективно увлекать,2020-08-17T11:27:40,,
50424,3,хлоп хлоп хлоп,2020-08-17T11:38:19,,
50425,3,средненькая,2020-08-17T11:44:13,,
50426,3,голубое большое и красивое,2020-08-17T11:44:19,,
50427,3,хорошо вода лето,2020-08-17T11:56:01,,
50428,3,о май гад,2020-08-17T11:59:35,,
50429,3,маленькая рыженькая маленький рыженький зверек,2020-08-17T12:05:50,,
50430,3,море,2020-08-17T12:10:10,,
50431,3,прозрачная мягкая нежная,2020-08-17T12:14:21,,
50432,3,давай играть в ты распознай себя,2020-08-17T12:17:17,,
50433,3,море большое озеро глубокое лужа грязная ручей быстро,2020-08-17T12:20:27,,
50434,3,потом в речку а потом в море,2020-08-17T12:21:28,,
50435,3,алиса а мокрое дальше,2020-08-17T12:29:55,,
50436,3,лужа,2020-08-17T12:36:14,,
50437,3,дальше,2020-08-17T12:37:55,,
50438,3,вода мокрая,2020-08-17T12:38:43,,
50439,3,продолжить,2020-08-17T12:40:23,,
50440,3,спокойная тихая чистое,2020-08-17T12:41:35,,
50441,3,алиса дальше,2020-08-17T12:43:02,,
50442,3,а знаете кто ее в постели,2020-08-17T13:11:34,,
50443,3,вонючая грязная холодная,2020-08-17T13:14:19,,
50444,3,море,2020-08-17T13:15:27,,
50445,3,большое,2020-08-17T13:22:05,,
50446,3,заново,2020-08-17T13:24:11,,
50447,3,одинокая пустой спокойная,2020-08-17T13:26:31,,
50448,3,мне хорошо лучше брежнева хорошо хорошо,2020-08-17T13:32:38,,
50449,3,волны звук влажность,2020-08-17T13:34:29,,
50450,3,"радость, плаванье, веселье",2020-08-17T13:38:29,,
50451,3,что надо определять,2020-08-17T13:42:02,,
50452,3,лужа,2020-08-17T13:47:14,,
50453,3,море озеро,2020-08-17T13:56:04,,
50454,3,ручей море,2020-08-17T13:59:41,,
50455,3,озеро,2020-08-17T14:02:51,,
50456,3,море,2020-08-17T14:05:43,,
50457,3,озеро,2020-08-17T14:16:09,,
50458,3,кошки счастье загадочность,2020-08-17T14:18:29,,
50459,3,спокойная глубокая красивая,2020-08-17T14:19:56,,
50460,3,море,2020-08-17T14:21:02,,
50461,3,пес,2020-08-17T14:21:16,,
50462,3,потому что это отлично,2020-08-17T14:21:23,,
50463,3,пиво шашлыки,2020-08-17T14:24:08,,
